cross_track_error,reached_goal,collision,reward,timesteps,duration,progress,pathlength
0.0,0.0,1.0,-1143.0106290296371,15.0,15.0,0.6197,0.0
0.0,0.0,1.0,-2364.2257802385784,213.0,213.0,0.7797,0.0
0.0,0.0,1.0,-1734.7775643407072,111.0,111.0,0.8211,0.0
0.0,0.0,0.0,-2002.2909148445635,329.0,329.0,0.6641,0.0
0.0,0.0,1.0,-1776.6280359380694,117.0,117.0,0.7788,0.0
0.0,0.0,1.0,-1231.6415373019065,32.0,32.0,0.7831,0.0
0.0,0.0,1.0,-1822.8644682027136,132.0,132.0,0.7105,0.0
0.0,0.0,1.0,-1106.8384368251357,13.0,13.0,0.7214,0.0
0.0,0.0,0.0,-2002.628773057934,332.0,332.0,0.763,0.0
0.0,0.0,1.0,-1207.141785564581,34.0,34.0,0.7773,0.0
0.0,0.0,1.0,-2278.0158496083027,206.0,206.0,0.6697,0.0
0.0,0.0,0.0,-2000.6663604174219,342.0,342.0,0.6471,0.0
0.0,0.0,1.0,-2642.095960051978,272.0,272.0,0.7838,0.0
0.0,0.0,1.0,-1989.5647155395568,155.0,155.0,0.7897,0.0
0.0,0.0,0.0,-2002.9305534451019,337.0,337.0,0.7167,0.0
0.0,0.0,1.0,-2998.696688217215,325.0,325.0,0.7141,0.0
0.0,0.0,1.0,-1217.5311712213625,21.0,21.0,0.3977,0.0
0.0,0.0,0.0,-2000.7010477567642,333.0,333.0,0.6461,0.0
0.0,0.0,0.0,-2005.2011381229952,335.0,335.0,0.6118,0.0
0.0,0.0,1.0,-1187.0363813060258,27.0,27.0,0.7516,0.0
0.0,0.0,1.0,-1798.2471735943343,130.0,130.0,0.689,0.0
0.0,0.0,1.0,-1283.605445282701,42.0,42.0,0.7785,0.0
0.0,0.0,1.0,-1887.9889503730715,144.0,144.0,0.7807,0.0
0.0,0.0,1.0,-1151.5426346115664,16.0,16.0,0.6075,0.0
0.0,0.0,1.0,-1913.5098860336889,137.0,137.0,0.8079,0.0
0.0,0.0,1.0,-1126.5548849640375,14.0,14.0,0.5659,0.0
